personnummer	namn
200410292395	Linda L
200511182396	Johan X
200107302382	Lisa PG
200312152390	Björn U
200811242395	Maja L
200906172382	Maria PW
200108192386	Björn T
200203292396	Henrik Y
200509202388	Per Q
200006112387	Kristina JZ
200510042385	Lars UM
200403142391	Per U
200011052396	Karin E
200705182392	Peter CG
200405122391	Anna J
200403102387	Annika RZ
200701152399	Olof G
200909012387	Olof BZ
200511232399	Eva JC
200310312384	Maria UC
200808182398	Emil KY
200109232397	Anders X
200702232380	Anna E
200311182380	Eva V
200406092387	Niklas J
200008232399	Emil KO
200708242383	Erik IT
200610182396	Anna R
200312042393	Anders W
200705302388	Maria E
200708212394	Jörgen K
200805042397	Maria LX
200106302391	Elin G
200106252380	Amanda M
200709262380	Peter HV
200711102392	Ingrid T
200210282398	Amanda MK
200709122394	Anna AY
200608302394	Henrik DR
200911242386	Olof I
200408272391	Amanda W
200311112395	Linda HD
200308052398	Amanda MQ
200804082386	Eva U
200406082388	Kristina CH
200506222389	Anders IB
200006202386	Peter L
200909232399	Björn X
200311152383	Kristina R
200608052387	Amanda B
200312162381	Anna K
200605212380	Peter LJ
200410122386	Peter T
200311172381	Elin U
200601022395	Fredrik V
200911262392	Anders P
200407292390	Lisa F
200201082393	Kristina E
200301302394	Gustav Z
200212182398	Elin GW
200007162399	Sara J
200008142390	Anders B
200806042388	Emil B
200608152393	Linda N
200712242395	Maria G
200801302381	Fredrik R
200001022383	Linda W
200912082393	Olof N
200508112380	Linda HM
200403062383	Annika Z
200808192397	Maria UQ
200306042383	Eva Q
200706052388	Eva GT
200908302391	Fredrik B
200912252392	Gustav SQ
200709052393	Niklas JB
200312182389	Amanda A
200811022391	Henrik O
200301222394	Elin GB
200805172392	Sofia K
200811082395	Emil O
200101132389	Annika K
200708092390	Sofia H
200207262387	Karl H
200208172387	Magnus Y
200302032388	Annika JJ
200009242397	Elin Z
200001082387	Björn O
200311072383	Johan W
200104212386	Björn W
200904242393	Lisa H
200309272383	Annika X
200401202395	Lars L
200801092388	Kristina EH
200202142394	Karl R
200011212388	Ingrid N
200702252396	Johan V
200007282387	Karin M
200704132398	Elin B
200804052397	Ingrid FK
200110252392	Anna AU
200311192389	Henrik TI
200507222396	Lisa QF
200609172390	Lars BM
200208042390	Henrik FH
200711072389	Sara X
200201282381	Peter AR
200208012385	Maja B
200712112382	Magnus L
200108182387	Emil N
200306242397	Elin P
200304132384	Emil H
200802032383	Elin S
200807172390	Eva D
200509102398	Karin C
200306072398	Erik XA
200705282390	Linda CN
200502192396	Kristina N
200503022386	Helena ZB
200804142388	Erik OR
200502242381	Karl NZ
200111272381	Karl E
200508132388	Annika N
200611212390	Emil Y
200402122386	Amanda F
200109092387	Karl T
200206252389	Niklas Q
200806062394	Elin PL
200506102391	Olof F
200712212398	Maja EH
200805122389	Erik P
200709252381	Ingrid I
200002292381	Lars Z
200411132392	Annika Y
200311182398	Gustav C
200610292385	Per DK
200904282399	Sofia G
200211192398	Johan R
200008072381	Jörgen N
200712172386	Amanda P
200003292380	Elin O
200107022394	Peter AV
200101242386	Karin L
200010042380	Erik N
200506162387	Erik C
200003102381	Magnus IO
200401222393	Magnus J
200208292391	Annika YO
200702182387	Eva C
200708112388	Emil A
200006052393	Lisa QL
200108292392	Ingrid NX
200305252389	Linda Z
200903052389	Niklas M
200811052380	Johan K
200911262384	Fredrik U
200206112393	Magnus OY
200606252393	Linda LJ
200507052397	Ingrid RJ
200604242388	Björn S
200002172385	Björn Q
200910102391	Annika DX
200509082392	Niklas K
200904252392	Lisa K
200110132396	Karl A
200211112388	Jörgen P
200005102389	Olof O
200605292382	Ingrid C
200306202391	Elin GR
200212082382	Magnus Z
200312202385	Fredrik A
200201182383	Maja AIM
200701032385	Fredrik AI
200301042396	Magnus HU
200605122381	Sara D
200207252388	Fredrik EU
200312082381	Eva EX
200503122392	Eva Z
200401072392	Sara E
200004272381	Olof FQ
200009292384	Amanda FI
200105012389	Maria O
200406102392	Helena W
200406132399	Johan N
200309202398	Linda NA
200308182385	Lisa CZW
200202102398	Amanda Q
200811102383	Henrik L
200304182397	Peter U
200710132390	Karl EM
200305252397	Sara R
200102112398	Anna T
200507212389	Gustav Y
200907122386	Johan L
200804252385	Emil U
200306142399	Per N
200303252381	Anna F
200910212398	Peter E
200109052381	Karl Y
200810072397	Linda NJ
200512042383	Per B
200510042393	Karl F
200302262399	Lars N
200603262395	Björn KY
200905292389	Björn WZ
200207122383	Erik GN
200607162393	Eva W
200009022393	Sara W
200603272394	Maja O
200405112392	Lisa SN
200506042381	Karin K
200207052382	Björn GN
200402252399	Erik W
200301212387	Magnus BH
200209102391	Niklas E
200701222390	Sara B
200308272384	Annika S
200505042382	Olof GE
200007222391	Ingrid AP
200109282384	Ingrid O
200305312381	Kristina D
200107202384	Fredrik UT
200412152381	Olof E
200711122382	Sofia W
200505062398	Eva A
200503162398	Johan FJ
200905142394	Johan Q
200912302387	Elin UA
200110112380	Niklas O
200811262393	Kristina Z
200007172398	Magnus C
200009232380	Olof S
200505292391	Anders YV
200003022381	Eva OF
200806122396	Per BX
200505112383	Emil G
200602182396	Jörgen E
200509232393	Maria N
200308112390	Elin V
200604092395	Per V
200601042385	Björn Y
200004052387	Helena S
200502042393	Anna MG
200403012388	Gustav N
200408112399	Erik T
200803012384	Elin K
200410062392	Eva EK
200304122393	Eva JY
200407282383	Anders ON
200708022389	Gustav B
200501082382	Erik M
200510252398	Lisa W
200610082398	Annika BZ
200203012398	Sofia O
200703192385	Eva IG
200812082394	Annika P
200712062389	Emil Q
200903162386	Sara K
200608142386	Ingrid FB
200001232396	Helena C
200711182386	Jörgen C
200402142392	Fredrik Z
200503142390	Per CK
200902072388	Per G
200508152394	Maja T
200010262392	Björn DU
200012262390	Magnus CV
200704112382	Elin PR
200605012384	Karin I
200804012383	Karin IJ
200909302390	Annika PO
200212132385	Amanda FV
200508252384	Linda A
200305302382	Maria LI
200503132391	Niklas ZY
200310202395	Erik XK
200401052386	Anna G
200312312382	Emil L
200602162398	Kristina Q
200407192384	Lars T
200504042383	Elin AJ
200706132396	Erik F
200608312393	Sara F
200103272381	Lisa CP
200303212393	Johan QE
200005192380	Niklas X
200211172390	Jörgen A
200110182391	Johan P
200707182390	Maja AE
200708152392	Anna Q
200508142395	Helena QT
200003042389	Peter IB
200408302396	Maria I
200908132392	Fredrik LV
200208272385	Sofia B
200510142383	Karl D
200411302383	Johan E
200404072399	Maja K
200910162387	Erik IU
200411072390	Olof FR
200901122390	Henrik W
200703302380	Johan VA
200208042382	Lisa Y
200608272381	Karl CU
200002192383	Maria D
200707282398	Sofia D
200701152381	Jörgen YM
200406202382	Maja Z
200806202396	Per GG
200705292381	Gustav YC
200904282381	Per E
200606082394	Kristina G
200004132395	Karin IJH
200307152389	Helena M
200301012399	Annika RK
200009072398	Niklas IV
200102022399	Lisa VR
200205192388	Johan RG
200705162394	Ingrid E
200201272390	Annika QE
200106202385	Ingrid W
200505222380	Niklas P
200503262388	Olof BD
200201252392	Eva OY
200705292399	Lisa EC
200811232396	Sara WM
200008282394	Karl DG
200607162385	Linda U
200012082384	Linda S
200508022381	Emil X
200310172382	Annika YY
200007262389	Lars W
200402062392	Karl CN
200206162380	Elin SP
200512062399	Lars VZ
200606292381	Lars X
200607292398	Gustav V
200112072384	Gustav BF
200305152399	Kristina S
200212252381	Lisa RX
200308162395	Helena PP
200904212388	Eva ZA
200706202389	Karin G
200208252395	Karl I
200304092380	Gustav I
200802152397	Erik R
200104182399	Maria LL
200305042384	Peter JT
200804122380	Johan XG
200411092380	Olof Z
200006222392	Magnus X
200207112392	Gustav HN
200009172388	Helena YC
200504282393	Anders MT
200706022399	Linda Q
200407072388	Kristina B
200901042382	Karin P
200702272386	Magnus AZ
200603152380	Annika M
200309152387	Fredrik X
200808012397	Amanda S
200602072399	Gustav NS
200101262384	Anna U
200805202389	Kristina EK
200506222397	Amanda O
200609012380	Per EW
200607242385	Kristina K
200010142396	Eva N
200806222386	Maria XA
200207102393	Karin W
200204032387	Erik A
200709162390	Olof SG
200810262394	Ingrid K
200811272384	Anders RQ
200503312381	Jörgen M
200008102386	Per EP
200007302391	Sara U
200301092383	Björn RV
200107312399	Magnus ID
200908052392	Linda UC
200612172395	Ingrid J
200001162387	Sara M
200307122390	Jörgen G
200910192392	Fredrik UZ
200310062393	Karin N
200402152383	Per UO
200411062383	Sofia KC
200102012382	Jörgen U
200302122387	Emil QD
200408142396	Henrik X
200405022393	Helena YE
200404122392	Amanda EX
200501312383	Kristina VQ
200412202384	Niklas OQ
200503182396	Sara H
200012312393	Lars NO
200408292399	Peter CR
200302182381	Emil GO
200001252386	Ingrid S
200409112398	Niklas T
200811212398	Eva ZI
200004292397	Annika MY
200107312381	Henrik Q
200110172384	Jörgen V
200605042399	Olof T
200411142391	Lisa N
200606242386	Erik PP
200305112385	Jörgen F
200306142381	Anna YE
200803252386	Karin LP
200204022396	Peter B
200801262395	Fredrik Y
200702122391	Magnus IN
200102182383	Anders T
200001042381	Sara KF
200009042383	Peter K
200207022393	Annika I
200010192383	Johan S
200702032392	Anders J
200601022387	Björn Z
200603122383	Peter JL
200506082395	Karin PW
200606082386	Sofia C
200706012382	Anders OO
200106212384	Jörgen D
200202162392	Sofia T
200003182391	Olof PJ
200708192398	Maria S
200004102380	Olof BY
200708272380	Anders H
200405152380	Magnus HX
200209032390	Lars R
200206222382	Anders YN
200909222390	Karin DB
200301112397	Olof M
200307292391	Niklas TF
200103192399	Olof MK
200508262383	Sara NB
200702082389	Per M
200311042386	Niklas LA
200006062384	Eva IU
200210232393	Sofia PG
200509262390	Karl IG
200005072384	Karin PK
200111172391	Karl L
200601102387	Helena B
200303202394	Linda D
200410302384	Anna UF
200711292383	Lisa RC
200609122395	Björn L
200205142391	Fredrik G
200201012382	Björn MD
200811052398	Anna RF
200008062382	Eva H
200405092388	Johan VR
200605312388	Sofia MO
200809042393	Kristina O
200901112383	Helena D
200109252387	Linda UE
200306022385	Sara CG
200505302380	Linda K
200210242392	Emil I
200308042381	Eva ZJ
200008082398	Elin GT
200403222391	Anders WC
200908032394	Olof L
200909292393	Gustav P
200707292389	Jörgen MN
200203252382	Annika A
200307232389	Anna AB
200201222395	Eva L
200206012387	Henrik Z
200907072391	Ingrid X
200307022392	Anna X
200901012385	Erik Y
200511072381	Karin S
200610072381	Elin X
200612072397	Annika AC
200012172391	Ingrid EO
200204012389	Niklas IF
200203092382	Linda CT
200006272397	Lisa GH
200205302391	Peter V
200107182388	Maria R
200912092384	Niklas H
200109202382	Olof GJ
200304162399	Fredrik T
200406062398	Per H
200808032395	Anna B
200403202385	Anders HJ
200209132398	Björn LW
200305272387	Magnus V
200503062390	Anders V
200212152391	Ingrid D
200607152386	Björn DV
200807132394	Per QB
200601212392	Jörgen NJ
200102062395	Ingrid FE
200011112398	Lars TX
200106242399	Erik NW
200401252382	Annika SO
200803212380	Emil R
200506142397	Ingrid OL
200909052383	Linda R
200008232381	Fredrik K
200906272398	Johan C
200610052391	Magnus YH
200803262393	Emil AR
200203262381	Gustav OX
200605172394	Karl V
200305102386	Jörgen MS
200808122386	Fredrik BU
200310132386	Karin RR
200205152382	Henrik N
200408052397	Helena V
200609202395	Peter ZE
200707072385	Amanda C
200603032392	Peter N
200401072384	Niklas FB
200107232399	Johan T
200411172398	Lisa D
200908062391	Maja H
200506212398	Olof PK
200611022393	Sofia J
200607292380	Lars J
200401292388	Eva VP
200903102390	Per W
200601312382	Magnus F
200912212396	Maja W
200307052399	Henrik P
200001142397	Anders ZW
200207042391	Sofia Y
200901252395	Linda B
200911042398	Henrik G
200905042396	Gustav A
200508242393	Helena U
200709102396	Niklas IQ
200407302389	Karin T
200305032393	Helena DS
200206162398	Per F
200102122397	Emil C
200507202380	Helena N
200006262380	Peter UI
200905142386	Lisa KE
200203222393	Ingrid YO
200804102382	Erik XX
200010242394	Emil E
200805032398	Karl YW
200510282387	Lars P
200807112396	Olof PL
200204302392	Erik Q
200902232388	Olof EP
200410052393	Emil IN
200812212389	Lisa DM
200705172385	Eva S
200007272388	Karl RR
200911222396	Elin H
200007232382	Maja F
200202282398	Niklas AK
200611142399	Peter S
200812232395	Emil RM
200212292395	Helena L
200107282386	Eva VI
200303092381	Anders L
200709142384	Elin C
200708292388	Emil JQ
200201082385	Lars H
200808072383	Kristina A
200607312386	Ingrid XQ
200707302386	Helena A
200308252386	Amanda QD
200904262383	Lisa LE
200611082389	Emil QQ
200007212392	Lars M
200808202394	Emil NE
200005222385	Amanda G
200203292388	Peter D
200007132392	Elin Q
200107112385	Fredrik F
200902062397	Magnus G
200209082395	Gustav X
200803222397	Lisa M
200010162386	Niklas TW
200011102399	Karin U
200802102392	Niklas HE
200602252389	Karin JV
200701172389	Per S
200102162393	Ingrid KX
200812122380	Björn SY
200403242399	Sofia ON
200610062382	Niklas BH
200405052382	Sara XZ
200806182382	Karl S
200507312395	Karl Z
200408112381	Sofia AZ
200304032386	Amanda AW
200105042386	Anna TZ
200203102389	Elin SQ
200006152391	Anna I
200310042395	Anna OT
200401182399	Magnus K
200310222385	Karl AD
200311032387	Johan VC
200012202396	Sofia PW
200003072394	Annika PG
200608062394	Emil OW
200507132389	Lisa Z
200907082382	Maria CF
200311232391	Maja FK
200012142394	Peter X
200909032385	Linda LO
200510122385	Linda UZ
200701292393	Henrik DG
200004162384	Emil V
200204052385	Karin PD
200307252395	Björn WE
200903302396	Johan Y
200905222394	Lars RN
200908222391	Ingrid U
200304252398	Gustav VN
200807202387	Amanda CI
200509032389	Magnus OA
200710022393	Johan PT
200812022390	Annika IU
200009252396	Björn GE
200207172396	Kristina AF
200909082380	Jörgen DQ
200003282399	Lars TS
200709232383	Jörgen DS
200103252391	Maria K
200602042384	Kristina P
200706192390	Emil EF
200608112389	Sofia TP
200910242395	Eva UX
200505052399	Erik PM
200509242384	Maja SE
200907052385	Jörgen AY
200906012398	Maria HD
200309252385	Linda ZP
200508132396	Annika V
200809052392	Linda X
200712272384	Gustav VS
200506282391	Peter OX
200909202384	Magnus JP
200905242384	Kristina MY
200604152389	Lisa WP
200906252382	Kristina MB
200012102398	Emil US
200711012393	Fredrik UA
200312092380	Elin TT
200606022382	Eva GH
200609052386	Maria RG
200807142385	Karin RK
200706132388	Erik TA
200407092386	Johan ZE
200601192396	Linda UO
200305222382	Amanda I
200603092396	Kristina JE
200101032399	Helena LR
200002032399	Niklas FC
200604262394	Peter EY
200906042387	Per MB
200306252396	Amanda J
200103202396	Helena VA
200112142385	Karl J
200912232394	Niklas C
200210222394	Kristina F
200006182380	Henrik C
200411292394	Annika QF
200007172380	Lisa TJ
200304242399	Linda CK
200902222389	Maria F
200510012388	Maja LJ
200910092386	Maria PE
200901242396	Sara WY
200201202389	Sara T
200511062382	Henrik S
200301032397	Gustav F
200712212380	Erik RB
200201162385	Lisa QJ
200610272387	Kristina VM
200107032393	Emil VF
200210182382	Amanda N
200808052393	Karl VW
200904052396	Sofia F
200205292386	Linda NW
200601092380	Ingrid P
200102052396	Maja M
200704042381	Amanda CP
200510082399	Lisa ZI
200708302393	Magnus NY
200303192397	Anna OH
200006292395	Peter R
200006092381	Sofia FQ
200911162394	Karl BS
200210112389	Sofia XM
200009162389	Niklas UP
200711282392	Helena LI
200103052387	Annika DF
200905192381	Henrik FO
200901192393	Henrik NO
200111032397	Helena DR
200611092388	Sara A
200807012380	Ingrid EI
200904082385	Maja OI
200506032390	Maja KB
200103282398	Maria KX
200504242389	Johan LL
200908182397	Per WZ
200007142391	Amanda BP
200602102386	Annika U
200610262396	Fredrik YB
200605222397	Lars O
200803212398	Gustav G
200212212385	Gustav CE
200205142383	Elin BN
200107042392	Jörgen UP
200910282391	Björn QJ
200109082388	Sofia CC
200211092382	Kristina W
200303292387	Kristina H
200808132385	Elin GI
200508152386	Ingrid DC
200610312399	Anders XY
200712022383	Eva IUJ
200503302382	Eva HC
200612052381	Amanda OC
200609102389	Johan RR
200505192393	Maja KD
200910312388	Magnus U
200406242396	Annika XJ
200601282395	Fredrik LY
200607192390	Fredrik VY
200808102388	Helena BW
200705282382	Henrik ZY
200803092386	Maria W
200611192386	Helena AB
200006102396	Björn FF
200310272380	Ingrid WY
200606212397	Erik IP
200301222386	Karin CT
200112062393	Karin X
200002012383	Maria SH
200310302385	Maria WO
200412172397	Anders D
200206062390	Jörgen AH
200507092393	Annika W
200311202386	Jörgen W
200404302390	Gustav HJ
200311242390	Karl JG
200608192399	Jörgen B
200603292392	Kristina ZB
200701212383	Sara DN
200112272398	Erik OD
200902062389	Emil CH
200908162381	Fredrik H
200303072391	Ingrid NA
200710092396	Sara V
200001132398	Henrik M
200801292384	Ingrid M
200802242396	Eva DM
200108272394	Karin CO
200005232392	Emil BN
200812142396	Kristina QN
200301262390	Eva AY
200902012392	Lars HL
200012042396	Fredrik W
200905272381	Björn GK
200912252384	Erik E
200410022388	Kristina HE
200610302390	Gustav L
200905112397	Björn I
200004152385	Elin W
200808152391	Magnus AP
200703032383	Maja N
200406132381	Linda XA
200711022384	Jörgen CW
200812192383	Niklas S
200909062390	Maria A
200810132381	Kristina QL
200105292395	Linda E
